;Name;Jahr;IMDB;Laufzeit;Regisseur
59;(500) Days of Summer;2009;tt1022603;95;Marc Webb
444;12 Strong: Die wahre Geschichte der US-Horse Soldiers;2018;tt1413492;130;Nicolai Fuglsig
398;13 Hours: The Secret Soldiers of Benghazi;2016;tt4172430;144;Michael Bay
176;2 Fast 2 Furious;2003;tt0322259;104;John Singleton
55;2 Guns;2013;tt1272878;109;Baltasar Kormákur
214;3 Days to Kill;2014;tt2172934;116;McG 
56;300;2006;tt0416449;116;Zack Snyder
57;300: Rise of an Empire;2014;tt1253863;102;Noam Murro
58;47 Ronin;2013;tt1335975;118;Carl Rinsch
60;72 Stunden: The Next Three Days;2010;tt1458175;133;Paul Haggis
472;8 Mile;2002;tt0298203;110;Curtis Hanson
61;96 Hours;2008;tt0936501;93;Pierre Morel
62;96 Hours-Taken 2;2012;tt1397280;98;Olivier Megaton
63;A Beautiful Mind: Genie und Wahnsinn;2001;tt0268978;136;Ron Howard
397;A War;2015;tt3830162;111;Tobias Lindholm
64;Abraham Lincoln Vampirjäger;2012;tt1611224;105;Timur Bekmambetov
434;Acts of Violence;2018;tt6684714;93;Brett Donowho
65;After Earth;2013;tt1815862;100;M. Night Shyamalan
324;Aladdin;1992;tt0103639;91;Ron Clements
325;Alice im Wunderland;1951;tt0043274;75;Clyde Geronimi
374;Alice im Wunderland: Hinter den Spiegeln;2016;tt2567026;108;James Bobin
359;Allied: Vertraute Fremde;2016;tt3640424;125;Robert Zemeckis
67;American Sniper;2014;tt2179136;132;Clint Eastwood
68;Anonymus;2011;tt1521197;130;Roland Emmerich
69;Ant-Man;2015;tt0478970;117;Peyton Reed
470;Ant-Man and the Wasp;2018;tt5095030;118;Peyton Reed
315;Arielle, die Meerjungfrau;1989;tt0097757;82;Ron Clements
326;Arielle, die Meerjungfrau: Wie alles begann;2008;tt0969647;77;
327;Aristocats;1970;tt0065421;78;Wolfgang Reitherman
360;Assassin's Creed;2016;tt2094766;115;Justin Kurzel
417;Atomic Blonde;2017;tt2406566;115;David Leitch
71;Avengers: Age of Ultron;2015;tt2395427;141;Joss Whedon
457;Avengers: Infinity War;2018;tt4154756;149;Anthony Russo
411;Bad Boys - Harte Jungs;1995;tt0112442;119;Michael Bay
410;Bad Boys - Harte Jungs + Bad Boys II;;;266;
412;Bad Boys II;2003;tt0172156;147;Michael Bay
73;Bad Neighbors;2014;tt2004420;97;Nicholas Stoller
309;Bambi;1942;tt0034492;70;David Hand
1;Band Of Brothers;2001;tt0185906;782;David Frankel
421;Barry Seal: Only in America;2017;tt3532216;115;Doug Liman
74;Batman Begins;2005;tt0372784;140;Christopher Nolan
75;Batman v Superman: Dawn of Justice;2016;tt2975590;182;Zack Snyder
76;Battleground: Helden im Feuersturm;2013;tt2186783;103;Johan Earl
77;Battleship;2012;tt1440129;131;Peter Berg
78;Beautiful Creatures;2013;tt1559547;124;Richard LaGravenese
473;Begabt: Die Gleichung eines Lebens;2017;tt4481414;101;Marc Webb
436;Better watch out;2016;tt4443658;89;Chris Peckover
79;Black Hawk Down;2001;tt0265086;144;Ridley Scott
443;Black Panther;2018;tt1825683;134;Ryan Coogler
80;Blind Side: Die grosse Chance;2009;tt0878804;128;John Lee Hancock
81;Blitz;2011;tt1297919;98;Elliott Lester
340;Blood Father;2016;tt3647498;89;Jean-François Richet
382;Boston;2016;tt4572514;129;Peter Berg
349;Brick Mansions;2014;tt1430612;100;Camille Delamarre
335;Bridge of Spies: Der Unterhändler;2015;tt3682448;141;Steven Spielberg
441;Brimstone: Erlöse uns von dem Bösen;2016;tt1895315;148;Martin Koolhoven
83;Broken City;2013;tt1235522;109;Allen Hughes
84;Brothers;2009;tt0765010;105;Jim Sheridan
85;Captain America: The First Avenger;2011;tt0458339;124;Joe Johnston
87;Captain Phillips;2013;tt1535109;134;Paul Greengrass
418;Cars;2006;tt0317219;116;John Lasseter
424;Cars 2;2011;tt1216475;106;John Lasseter
474;Cars 3: Evolution;2017;tt3606752;102;Brian Fee
90;Casino Royale;2006;tt0381061;144;Martin Campbell
91;Cast Away: Verschollen;2000;tt0162222;144;Robert Zemeckis
95;Cat Run;2011;tt1446147;106;John Stockwell
94;Catch Me If You Can;2002;tt0264464;141;Steven Spielberg
337;Central Intelligence;2016;tt1489889;116;Rawson Marshall Thurber
89;Chronicle: Wozu bist du fähig?;2012;tt1706593;90;Josh Trank
93;Chroniken der Unterwelt: City of Bones;2013;tt1538403;130;Harald Zwart
307;Cinderella;2015;tt1661199;105;Kenneth Branagh
319;Cinderella;1950;tt0042332;74;Clyde Geronimi
334;Cloud Atlas;2012;tt1371111;172;Tom Tykwer
216;Codename U.N.C.L.E.;2015;tt1638355;116;Guy Ritchie
92;Coriolanus;2011;tt1372686;123;Ralph Fiennes
88;Crank / Crank 2 - High Voltage;;;187;
439;Criminal Squad;2018;tt1259528;124;Christian Gudegast
96;Daredevil;2003;tt0287978;133;Mark Steven Johnson
97;Dark Shadows;2012;tt1077368;113;Tim Burton
70;Das A-Team: Der Film;2010;tt0429493;134;Joe Carnahan
98;Das Beste kommt zum Schluss;2007;tt0825232;97;Rob Reiner
33;Das Bourne Ultimatum;2007;tt0440963;115;Paul Greengrass
99;Das Bourne Vermächtnis;2012;tt1194173;135;Tony Gilroy
317;Das Dschungelbuch;1967;tt0061852;78;Wolfgang Reitherman
405;Das Parfum: Die Geschichte eines Mörders;2006;tt0396171;147;Tom Tykwer
102;Das Schwergewicht;2012;tt1648179;105;Frank Coraci
400;Das Tagebuch der Anne Frank;2016;tt5277952;129;Hans Steinbichler
100;Das gibt Ärger;2012;tt1596350;104;McG 
101;Das perfekte Verbrechen;2007;tt0488120;113;Gregory Hoblit
103;Deadpool;2016;tt1431045;108;Tim Miller
462;Deadpool 2;2018;tt5463162;134;David Leitch
447;Death Wish;2018;tt1137450;109;Eli Roth
104;Defiance;2008;tt1034303;136;Edward Zwick
321;Der Glöckner von Notre Dame;1996;tt0116583;91;Gary Trousdale
460;Der Hauptmann;2017;tt6763252;119;Robert Schwentke
150;Der Hobbit: Die Schlacht der fünf Heere;2014;tt2310332;144;Peter Jackson
149;Der Hobbit: Eine unerwartete Reise;2012;tt0903624;169;Peter Jackson
151;Der Hobbit: Smaugs Einöde;2013;tt1170358;161;Peter Jackson
312;Der König der Löwen;1994;tt0110357;88;Roger Allers
215;Der Marsianer - Rettet Mark Watney;2015;tt3659388;142;Ridley Scott
200;Der Medicus;2013;tt2101473;155;Philipp Stölzl
204;Der Pianist;2002;tt0253474;149;Roman Polanski
203;Der Soldat James Ryan;1998;tt0120815;169;Steven Spielberg
202;Der Staatsfeind Nr. 1;1998;tt0120660;132;Tony Scott
208;Der blutige Pfad Gottes;1999;tt0144117;108;Troy Duffy
207;Der blutige Pfad Gottes 2;2009;tt1300851;115;Troy Duffy
415;Der dunkle Turm;2017;tt1648190;95;Nikolaj Arcel
206;Der gestiefelte Kater;2011;tt0448694;90;Chris Miller
205;Der grosse Gatsby;2013;tt1343092;142;Baz Luhrmann
146;Der unglaubliche Hulk;2008;tt0800080;113;Louis Leterrier
190;Die Bestimmung: Divergent;2014;tt1840309;139;Neil Burger
31;Die Bourne Identität;2002;tt0258463;119;Doug Liman
