Nr;Film;Erscheinungsjahr;Regisseur;Genre;Bewertung
1;(500) Days of Summer;2009;Marc Webb;;3
2;12 Strong: Die wahre Geschichte der US-Horse Soldiers;2018;Nicolai Fuglsig;;8
3;13 Hours: The Secret Soldiers of Benghazi;2016;Michael Bay;;8
4;2 Fast 2 Furious;2003;John Singleton;;7
5;2 Guns;2013;Baltasar KormÃ¡kur;;6
6;3 Days to Kill;2014;McG ;;7
7;300;2006;Zack Snyder;;9
8;300: Rise of an Empire;2014;Noam Murro;;7
9;47 Ronin;2013;Carl Rinsch;;6
10;72 Stunden: The Next Three Days;2010;Paul Haggis;;7
11;8 Mile;2002;Curtis Hanson;;9
12;96 Hours;2008;Pierre Morel;;7
13;96 Hours-Taken 2;2012;Olivier Megaton;;7
14;A Beautiful Mind: Genie und Wahnsinn;2001;Ron Howard;;8
15;A War;2015;Tobias Lindholm;;5
16;Abraham Lincoln Vampirjäger;2012;Timur Bekmambetov;;6
17;Acts of Violence;2018;Brett Donowho;;7
18;After Earth;2013;M. Night Shyamalan;;7
19;Aladdin;1992;Ron Clements;Disney;0
20;Alice im Wunderland;1951;Clyde Geronimi;Disney;0
21;Alice im Wunderland: Hinter den Spiegeln;2016;James Bobin;Fantasy;8
22;Allied: Vertraute Fremde;2016;Robert Zemeckis;;7
23;American Sniper;2014;Clint Eastwood;;9
24;Anonymus;2011;Roland Emmerich;;7
25;Ant-Man;2015;Peyton Reed;;6
26;Ant-Man and the Wasp;2018;Peyton Reed;;7
27;Arielle, die Meerjungfrau;1989;Ron Clements;Disney;0
28;Arielle, die Meerjungfrau: Wie alles begann;2008;;Disney;0
29;Aristocats;1970;Wolfgang Reitherman;Disney;0
30;Assassin's Creed;2016;Justin Kurzel;;7
31;Atomic Blonde;2017;David Leitch;;5
32;Avengers: Age of Ultron;2015;Joss Whedon;;7
33;Avengers: Infinity War;2018;Anthony Russo;;6
34;Bad Boys - Harte Jungs;1995;Michael Bay;;8
35;Bad Boys II;2003;Michael Bay;;8
36;Bad Neighbors;2014;Nicholas Stoller;Komödie;5
37;Bambi;1942;David Hand;Disney;0
38;Band Of Brothers;2001;David Frankel;Kriegsdrama;10
39;Barry Seal: Only in America;2017;Doug Liman;;8
40;Batman Begins;2005;Christopher Nolan;;8
41;Batman v Superman: Dawn of Justice;2016;Zack Snyder;;8
42;Battleground: Helden im Feuersturm;2013;Johan Earl;;4
43;Battleship;2012;Peter Berg;;7
44;Beautiful Creatures;2013;Richard LaGravenese;;7
45;Begabt: Die Gleichung eines Lebens;2017;Marc Webb;;7
46;Better watch out;2016;Chris Peckover;;5
47;Black Hawk Down;2001;Ridley Scott;;8
48;Black Panther;2018;Ryan Coogler;;9
49;Blind Side: Die grosse Chance;2009;John Lee Hancock;Drama;8
50;Blitz;2011;Elliott Lester;;6
51;Blood Father;2016;Jean-FranÃ§ois Richet;;7
52;Boston;2016;Peter Berg;;6
53;Brick Mansions;2014;Camille Delamarre;;7
54;Bridge of Spies: Der Unterhändler;2015;Steven Spielberg;;9
55;Brimstone: Erlöse uns von dem Bösen;2016;Martin Koolhoven;;8
56;Broken City;2013;Allen Hughes;;6
57;Brothers;2009;Jim Sheridan;Drama;9
58;Captain America: The First Avenger;2011;Joe Johnston;;8
59;Captain Phillips;2013;Paul Greengrass;;7
60;Cars;2006;John Lasseter;Disney;0
61;Cars 2;2011;John Lasseter;Disney;0
62;Cars 3: Evolution;2017;Brian Fee;Disney;0
63;Casino Royale;2006;Martin Campbell;;7
64;Cast Away: Verschollen;2000;Robert Zemeckis;;9
65;Cat Run;2011;John Stockwell;;7
66;Catch Me If You Can;2002;Steven Spielberg;;8
67;Central Intelligence;2016;Rawson Marshall Thurber;;5
68;Chronicle: Wozu bist du fähig?;2012;Josh Trank;;8
69;Chroniken der Unterwelt: City of Bones;2013;Harald Zwart;;6
70;Cinderella;2015;Kenneth Branagh;;
71;Cinderella;1950;Clyde Geronimi;Disney;0
72;Cloud Atlas;2012;Tom Tykwer;;5
73;Codename U.N.C.L.E.;2015;Guy Ritchie;;8
74;Coriolanus;2011;Ralph Fiennes;;4
75;Crank;2006;Mark Neveldine;Action;6
76;Crank 2 - High Voltage;2009;Mark Neveldine;Action;6
77;Criminal Squad;2018;Christian Gudegast;;8
78;Daredevil;2003;Mark Steven Johnson;;5
79;Dark Shadows;2012;Tim Burton;;7
80;Das A-Team: Der Film;2010;Joe Carnahan;;6
81;Das Beste kommt zum Schluss;2007;Rob Reiner;Drama;9
82;Das Bourne Ultimatum;2007;Paul Greengrass;Action;7
83;Das Bourne Vermächtnis;2012;Tony Gilroy;Action;7
84;Das Dschungelbuch;1967;Wolfgang Reitherman;Disney;0
85;Das Parfum: Die Geschichte eines Mörders;2006;Tom Tykwer;;7
86;Das Schwergewicht;2012;Frank Coraci;Komödie;6
87;Das Tagebuch der Anne Frank;2016;Hans Steinbichler;Drama;8
88;Das gibt Ärger;2012;McG ;Komödie;7
89;Das perfekte Verbrechen;2007;Gregory Hoblit;;7
90;Deadpool;2016;Tim Miller;;9
91;Deadpool 2;2018;David Leitch;;8
92;Death Wish;2018;Eli Roth;;
93;Defiance;2008;Edward Zwick;;7
94;Der Glöckner von Notre Dame;1996;Gary Trousdale;Disney;0
95;Der Hauptmann;2017;Robert Schwentke;;7
96;Der Hobbit: Die Schlacht der fünf Heere;2014;Peter Jackson;Fantasy;8
97;Der Hobbit: Eine unerwartete Reise;2012;Peter Jackson;Fantasy;8
98;Der Hobbit: Smaugs Einöde;2013;Peter Jackson;Fantasy;8
99;Der König der Löwen;1994;Roger Allers;Disney;0
100;Der Marsianer - Rettet Mark Watney;2015;Ridley Scott;;9
101;Der Medicus;2013;Philipp StÃ¶lzl;;8
102;Der Pianist;2002;Roman Polanski;Drama;8
103;Der Soldat James Ryan;1998;Steven Spielberg;Kriegsdrama;9
104;Der Staatsfeind Nr. 1;1998;Tony Scott;;
105;Der blutige Pfad Gottes;1999;Troy Duffy;;8
106;Der blutige Pfad Gottes 2;2009;Troy Duffy;;8
107;Der dunkle Turm;2017;Nikolaj Arcel;;7
108;Der gestiefelte Kater;2011;Chris Miller;Disney;0
109;Der grosse Gatsby;2013;Baz Luhrmann;;8
110;Der unglaubliche Hulk;2008;Louis Leterrier;;7
111;Die Bestimmung: Divergent;2014;Neil Burger;;7
112;Die Bourne Identität;2002;Doug Liman;;7
113;Die Bourne Verschwörung;2004;Paul Greengrass;;7
114;Die Croods;2013;Kirk De Micco;Disney;0
115;Die Eiskönigin: Völlig Unverfroren;2013;Chris Buck;Disney;0
116;Die Entdeckung der Unendlichkeit;2014;James Marsh;;8
117;Die Legende der Wächter;2010;Zack Snyder;Disney;0
118;Die Liga der außergewöhnlichen Gentlemen;2003;Stephen Norrington;;7
119;Die Schadenfreundinnen;2014;Nick Cassavetes;;6
120;Die Schöne und das Biest;2014;Christophe Gans;;7
121;Die Schöne und das Biest;2017;Bill Condon;;9
122;Die Schöne und das Biest;1991;Gary Trousdale;Disney;0
123;Die Tribute von Panem: Catching Fire;2013;Francis Lawrence;;8
124;Die Tribute von Panem: Mockingjay - Teil 1;2014;Francis Lawrence;;8
125;Die Tribute von Panem: Mockingjay - Teil 2;2014;Francis Lawrence;;8
126;Die Tribute von Panem: The Hunger Games;2012;Gary Ross;;8
127;Die Twilight Saga: Breaking Dawn: Bis(s) zum Ende der Nacht - Teil 2;2012;Bill Condon;;7
128;Die Unfassbaren 2: Now You See Me;2016;Jon M. Chu;;6
129;Die Unfassbaren: Now You See Me;2013;Louis Leterrier;;7
130;Die Wanderhure;2010;Hansjörg Thurn;Drama;6
